SUBID,BLOCK,TRIAL,time,dimensionality_estimate
317,152,10,-578,0.527340823970037
317,152,10,-566,0.519101123595506
317,152,10,-554,0.517977528089888
317,152,10,-542,0.518352059925093
317,152,10,-530,0.542696629213483
317,152,10,-518,0.585767790262172
317,152,10,-506,0.649812734082397
317,152,10,-494,0.658801498127341
317,152,10,-482,0.670037453183521
317,152,10,-470,0.665168539325842
317,152,10,-458,0.649812734082396
317,152,10,-446,0.620973782771535
317,152,10,-434,0.602996254681648
317,152,10,-422,0.602247191011236
317,152,10,-410,0.570411985018727
317,152,10,-398,0.52434456928839
317,152,10,-386,0.483520599250936
317,152,10,-374,0.475280898876405
317,152,10,-362,0.465168539325843
317,152,10,-350,0.410112359550562
317,152,10,-338,0.395131086142322
317,152,10,-326,0.371535580524345
317,152,10,-314,0.359925093632959
317,152,10,-302,0.337078651685394
317,152,10,-290,0.363295880149813
317,152,10,-278,0.364419475655431
317,152,10,-266,0.343445692883895
317,152,10,-254,0.337827715355805
317,152,10,-242,0.355805243445693
317,152,10,-230,0.373782771535581
317,152,10,-218,0.423595505617978
317,152,10,-206,0.466292134831461
317,152,10,-194,0.465543071161049
317,152,10,-182,0.495880149812734
317,152,10,-170,0.49625468164794
317,152,10,-158,0.509737827715356
317,152,10,-146,0.528089887640449
317,152,10,-134,0.575655430711611
317,152,10,-122,0.606367041198501
317,152,10,-110,0.608239700374532
317,152,10,-98,0.59438202247191
317,152,10,-86,0.558801498127341
317,152,10,-74,0.567415730337079
317,152,10,-62,0.558426966292135
317,152,10,-50,0.553558052434457
317,152,10,-38,0.597003745318352
317,152,10,-26,0.628089887640449
317,152,10,-14,0.646441947565543
317,152,10,-2,0.654681647940075
317,152,10,10,0.633333333333334
317,152,10,22,0.60187265917603
317,152,10,34,0.593258426966292
317,152,10,46,0.561048689138577
317,152,10,58,0.529213483146068
317,152,10,70,0.514606741573034
317,152,10,82,0.470411985018726
317,152,10,94,0.459176029962547
317,152,10,106,0.438576779026217
317,152,10,118,0.428089887640449
317,152,10,130,0.408614232209738
317,152,10,142,0.425468164794008
317,152,10,154,0.441198501872659
317,152,10,166,0.463670411985019
317,152,10,178,0.491385767790263
317,152,10,190,0.517977528089887
317,152,11,-794,0.53183520599251
317,152,11,-782,0.544569288389513
317,152,11,-770,0.544569288389513
317,152,11,-758,0.558052434456929
317,152,11,-746,0.541573033707865
317,152,11,-734,0.545692883895131
317,152,11,-722,0.532958801498127
317,152,11,-710,0.510112359550562
317,152,11,-698,0.482771535580524
317,152,11,-686,0.447565543071161
317,152,11,-674,0.434082397003745
317,152,11,-662,0.436704119850187
317,152,11,-650,0.49438202247191
317,152,11,-638,0.499250936329588
317,152,11,-626,0.495505617977528
317,152,11,-614,0.495505617977528
317,152,11,-602,0.48501872659176
317,152,11,-590,0.500749063670412
317,152,11,-578,0.489887640449438
317,152,11,-566,0.502247191011236
317,152,11,-554,0.510861423220974
317,152,11,-542,0.535205992509363
317,152,11,-530,0.521348314606742
317,152,11,-518,0.530337078651685
317,152,11,-506,0.520224719101124
317,152,11,-494,0.480149812734083
317,152,11,-482,0.465543071161049
317,152,11,-470,0.459550561797753
